review,sentiment,cleaned_review
"Phil the Alien is one of those quirky films where the humour is based around the oddness of everything rather than actual punchlines.<br /><br />At first it was very odd and pretty funny but as the movie progressed I didn't find the jokes or oddness funny anymore.<br /><br />Its a low budget film (thats never a problem in itself), there were some pretty interesting characters, but eventually I just lost interest.<br /><br />I imagine this film would appeal to a stoner who is currently partaking.<br /><br />For something similar but better try ""Brother from another planet""",negative,phil alien quirki film humour base around odd everyth rather actual punchlin first odd pretti funni progress didnt find joke odd funni anymor low budget that never problem pretti interest charact eventu lost interest imagin appeal stoner current partak someth similar better tri brother anoth planet
"I saw this movie when I was about 12 when it came out. I recall the scariest scene was the big bird eating men dangling helplessly from parachutes right out of the air. The horror. The horror.<br /><br />As a young kid going to these cheesy B films on Saturday afternoons, I still was tired of the formula for these monster type movies that usually included the hero, a beautiful woman who might be the daughter of a professor and a happy resolution when the monster died in the end. I didn't care much for the romantic angle as a 12 year old and the predictable plots. I love them now for the unintentional humor.<br /><br />But, about a year or so later, I saw Psycho when it came out and I loved that the star, Janet Leigh, was bumped off early in the film. I sat up and took notice at that point. Since screenwriters are making up the story, make it up to be as scary as possible and not from a well-worn formula. There are no rules.",negative,saw came recal scariest scene big bird eat men dangl helplessli parachut right air horror horror young kid go cheesi film saturday afternoon still tire formula monster type movi usual includ hero beauti woman might daughter professor happi resolut monster die end didnt care much romant angl year old predict plot love unintent humor year later saw psycho came love star janet leigh bump earli sat took notic point sinc screenwrit make stori make scari possibl wellworn formula rule
"So im not a big fan of Boll's work but then again not many are. I enjoyed his movie Postal (maybe im the only one). Boll apparently bought the rights to use Far Cry long ago even before the game itself was even finsished. <br /><br />People who have enjoyed killing mercs and infiltrating secret research labs located on a tropical island should be warned, that this is not Far Cry... This is something Mr Boll have schemed together along with his legion of schmucks.. Feeling loneley on the set Mr Boll invites three of his countrymen to play with. These players go by the names of Til Schweiger, Udo Kier and Ralf Moeller.<br /><br />Three names that actually have made them selfs pretty big in the movie biz. So the tale goes like this, Jack Carver played by Til Schweiger (yes Carver is German all hail the bratwurst eating dudes!!) However I find that Tils acting in this movie is pretty badass.. People have complained about how he's not really staying true to the whole Carver agenda but we only saw carver in a first person perspective so we don't really know what he looked like when he was kicking a**.. <br /><br />However, the storyline in this film is beyond demented. We see the evil mad scientist Dr. Krieger played by Udo Kier, making Genetically-Mutated-soldiers or GMS as they are called. Performing his top-secret research on an island that reminds me of ""SPOILER"" Vancouver for some reason. Thats right no palm trees here. Instead we got some nice rich lumberjack-woods. We haven't even gone FAR before I started to CRY (mehehe) I cannot go on any more.. If you wanna stay true to Bolls shenanigans then go and see this movie you will not be disappointed it delivers the true Boll experience, meaning most of it will suck.<br /><br />There are some things worth mentioning that would imply that Boll did a good work on some areas of the film such as some nice boat and fighting scenes. Until the whole cromed/albino GMS squad enters the scene and everything just makes me laugh.. The movie Far Cry reeks of scheisse (that's poop for you simpletons) from a fa,r if you wanna take a wiff go ahead.. BTW Carver gets a very annoying sidekick who makes you wanna shoot him the first three minutes he's on screen.",negative,big fan boll work mani enjoy postal mayb boll appar bought right use far cri long ago even game even finsish peopl enjoy kill merc infiltr secret research lab locat tropic island warn far cri someth boll scheme togeth along legion schmuck feel loneley set boll invit three countrymen play player name til schweiger udo kier ralf moeller three name actual made self pretti big biz tale goe like jack carver play til schweiger ye carver german hail bratwurst eat dude howev find til act pretti badass peopl complain he realli stay true whole carver agenda saw carver first person perspect dont realli know look like kick howev storylin beyond dement see evil mad scientist krieger play udo kier make geneticallymutatedsoldi gm call perform topsecret research island remind spoiler vancouv reason that right palm tree instead got nice rich lumberjackwood havent even gone far start cri meheh cannot wanna stay true boll shenanigan see disappoint deliv true boll experi mean suck thing worth mention impli boll good work area nice boat fight scene whole cromedalbino gm squad enter scene everyth make laugh far cri reek scheiss that poop simpleton far wanna take wiff ahead btw carver get annoy sidekick make wanna shoot first three minut he screen
"The cast played Shakespeare.<br /><br />Shakespeare lost.<br /><br />I appreciate that this is trying to bring Shakespeare to the masses, but why ruin something so good.<br /><br />Is it because 'The Scottish Play' is my favorite Shakespeare? I do not know. What I do know is that a certain Rev Bowdler (hence bowdlerization) tried to do something similar in the Victorian era.<br /><br />In other words, you cannot improve perfection.<br /><br />I have no more to write but as I have to write at least ten lines of text (and English composition was never my forte I will just have to keep going and say that this movie, as the saying goes, just does not cut it.",negative,cast play shakespear shakespear lost appreci tri bring shakespear mass ruin someth good scottish play favorit shakespear know know certain rev bowdler henc bowdler tri someth similar victorian era word cannot improv perfect write write least ten line text english composit never fort keep go say say goe cut
This a fantastic movie of three prisoners who become famous. One of the actors is george clooney and I'm not a fan but this roll is not bad. Another good thing about the movie is the soundtrack (The man of constant sorrow). I recommand this movie to everybody. Greetings Bart,positive,fantast three prison becom famou actor georg clooney fan roll bad anoth good thing soundtrack man constant sorrow recommand everybodi greet bart
"Kind of drawn in by the erotic scenes, only to realize this was one of the most amateurish and unbelievable bits of film I've ever seen. Sort of like a high school film project. What was Rosanna Arquette thinking?? And what was with all those stock characters in that bizarre supposed Midwest town? Pretty hard to get involved with this one. No lessons to be learned from it, no brilliant insights, just stilted and quite ridiculous (but lots of skin, if that intrigues you) videotaped nonsense....What was with the bisexual relationship, out of nowhere, after all the heterosexual encounters. And what was with that absurd dance, with everybody playing their stereotyped roles? Give this one a pass, it's like a million other miles of bad, wasted film, money that could have been spent on starving children or Aids in Africa.....",negative,kind drawn erot scene realiz amateurish unbeliev bit ive ever seen sort like high school project rosanna arquett think stock charact bizarr suppos midwest town pretti hard involv lesson learn brilliant insight stilt quit ridicul lot skin intrigu videotap nonsensewhat bisexu relationship nowher heterosexu encount absurd danc everybodi play stereotyp role give pass like million mile bad wast money could spent starv children aid africa
"Some films just simply should not be remade. This is one of them. In and of itself it is not a bad film. But it fails to capture the flavor and the terror of the 1963 film of the same title. Liam Neeson was excellent as he always is, and most of the cast holds up, with the exception of Owen Wilson, who just did not bring the right feel to the character of Luke. But the major fault with this version is that it strayed too far from the Shirley Jackson story in it's attempts to be grandiose and lost some of the thrill of the earlier film in a trade off for snazzier special effects. Again I will say that in and of itself it is not a bad film. But you will enjoy the friction of terror in the older version much more.",positive,film simpli remad bad fail captur flavor terror titl liam neeson excel alway cast hold except owen wilson bring right feel charact luke major fault version stray far shirley jackson stori attempt grandios lost thrill earlier trade snazzier special effect say bad enjoy friction terror older version much
"This movie made it into one of my top 10 most awful movies. Horrible. <br /><br />There wasn't a continuous minute where there wasn't a fight with one monster or another. There was no chance for any character development, they were too busy running from one sword fight to another. I had no emotional attachment (except to the big bad machine that wanted to destroy them) <br /><br />Scenes were blatantly stolen from other movies, LOTR, Star Wars and Matrix. <br /><br />Examples<br /><br />>The ghost scene at the end was stolen from the final scene of the old Star Wars with Yoda, Obee One and Vader. <br /><br />>The spider machine in the beginning was exactly like Frodo being attacked by the spider in Return of the Kings. (Elijah Wood is the victim in both films) and wait......it hypnotizes (stings) its victim and wraps them up.....uh hello????<br /><br />>And the whole machine vs. humans theme WAS the Matrix..or Terminator.....<br /><br />There are more examples but why waste the time? And will someone tell me what was with the Nazi's?!?! Nazi's???? <br /><br />There was a juvenile story line rushed to a juvenile conclusion. The movie could not decide if it was a children's movie or an adult movie and wasn't much of either. <br /><br />Just awful. A real disappointment to say the least. Save your money.",negative,made top aw movi horribl wasnt continu minut wasnt fight monster anoth chanc charact develop busi run sword fight anoth emot attach except big bad machin want destroy scene blatantli stolen movi lotr star war matrix exampl ghost scene end stolen final scene old star war yoda obe vader spider machin begin exactli like frodo attack spider return king elijah wood victim film waitit hypnot sting victim wrap upuh hello whole machin human theme matrixor termin exampl wast time someon tell nazi nazi juvenil stori line rush juvenil conclus could decid children adult wasnt much either aw real disappoint say least save money
"I remember this film,it was the first film i had watched at the cinema the picture was dark in places i was very nervous it was back in 74/75 my Dad took me my brother & sister to Newbury cinema in Newbury Berkshire England. I recall the tigers and the lots of snow in the film also the appearance of Grizzly Adams actor Dan Haggery i think one of the tigers gets shot and dies. If anyone knows where to find this on DVD etc please let me know.The cinema now has been turned in a fitness club which is a very big shame as the nearest cinema now is 20 miles away, would love to hear from others who have seen this film or any other like it.",positive,rememb filmit first watch cinema pictur dark place nervou back dad took brother sister newburi cinema newburi berkshir england recal tiger lot snow also appear grizzli adam actor dan haggeri think tiger get shot die anyon know find dvd etc pleas let knowth cinema turn fit club big shame nearest cinema mile away love hear other seen like
"An awful film! It must have been up against some real stinkers to be nominated for the Golden Globe. They've taken the story of the first famous female Renaissance painter and mangled it beyond recognition. My complaint is not that they've taken liberties with the facts; if the story were good, that would perfectly fine. But it's simply bizarre -- by all accounts the true story of this artist would have made for a far better film, so why did they come up with this dishwater-dull script? I suppose there weren't enough naked people in the factual version. It's hurriedly capped off in the end with a summary of the artist's life -- we could have saved ourselves a couple of hours if they'd favored the rest of the film with same brevity.",negative,aw must real stinker nomin golden globe theyv taken stori first famou femal renaiss painter mangl beyond recognit complaint theyv taken liberti fact stori good perfectli fine simpli bizarr account true stori artist made far better come dishwaterdul script suppos werent enough nake peopl factual version hurriedli cap end summari artist life could save coupl hour theyd favor rest breviti
"After the success of Die Hard and it's sequels it's no surprise really that in the 1990s, a glut of 'Die Hard on a .....' movies cashed in on the wrong guy, wrong place, wrong time concept. That is what they did with Cliffhanger, Die Hard on a mountain just in time to rescue Sly 'Stop or My Mom Will Shoot' Stallone's career.<br /><br />Cliffhanger is one big nit-pickers dream, especially to those who are expert at mountain climbing, base-jumping, aviation, facial expressions, acting skills. All in all it's full of excuses to dismiss the film as one overblown pile of junk. Stallone even managed to get out-acted by a horse! However, if you an forget all the nonsense, it's actually a very lovable and undeniably entertaining romp that delivers as plenty of thrills, and unintentionally, plenty of laughs.<br /><br />You've got to love John Lithgows sneery evilness, his tick every box band of baddies, and best of all, the permanently harassed and hapless 'turncoat' agent, Rex Linn as Travers.<br /><br />He may of been Henry in 'Portrait of a Serial Killer' but Michael Rooker is noteworthy for a cringe-worthy performance as Hal, he insists on constantly shrieking in painful disbelief at his captors 'that man never hurt anybody' And whilst he surely can't be, it really does look like Ralph Waite's Frank character is grinning as the girl plummets to her death.<br /><br />Mention too must go to former 'London's Burning' actor Craig Fairbrass as the Brit bad guy, who comes a cropper whilst using Hal as a Human Football, yes, you can't help enjoy that bit, Hal needed a good kicking.<br /><br />So forget your better judgement, who cares if 'that could never happen', lower your acting expectations, turn up the volume and enjoy! And if you're looking for Qaulen, he's the one wearing the helicopter.",positive,success die hard sequel surpris realli glut die hard movi cash wrong guy wrong place wrong time concept cliffhang die hard mountain time rescu sli stop mom shoot stallon career cliffhang big nitpick dream especi expert mountain climb basejump aviat facial express act skill full excus dismiss overblown pile junk stallon even manag outact hors howev forget nonsens actual lovabl undeni entertain romp deliv plenti thrill unintent plenti laugh youv got love john lithgow sneeri evil tick everi box band baddi best perman harass hapless turncoat agent rex linn traver may henri portrait serial killer michael rooker noteworthi cringeworthi perform hal insist constantli shriek pain disbelief captor man never hurt anybodi whilst sure cant realli look like ralph wait frank charact grin girl plummet death mention must former london burn actor craig fairbrass brit bad guy come cropper whilst use hal human footbal ye cant help enjoy bit hal need good kick forget better judgement care could never happen lower act expect turn volum enjoy your look qaulen he wear helicopt
"I had the terrible misfortune of having to view this ""b-movie"" in it's entirety.<br /><br />All I have to say is--- save your time and money!!! This has got to be the worst b-movie of all time, it shouldn't even be called a b-movie, more like an f-movie! Because it fails in all aspects that make a good movie: the story is not interesting at all, all of the actors are paper-thin and not at all believable, it has bad direction and the action sequences are so fake it's almost funny.......almost.<br /><br />The movie is just packed full of crappy one-liners that no respectable person could find amusing in the least little bit.<br /><br />This movie is supposed to be geared towards men, but all the women in it are SO utterly unattractive, especially that old wrinkled thing that comes in towards the end. They try to appear sexy in those weird, horrible costumes and they fail miserably!!!<br /><br />Even some of the most ridiculous b-movies will still give you some laughs, but this is just too painful to watch!!",negative,terribl misfortun view bmovi entireti say save time money got worst bmovi time shouldnt even call bmovi like fmovi fail aspect make good stori interest actor paperthin believ bad direct action sequenc fake almost funnyalmost pack full crappi onelin respect person could find amus least littl bit suppos gear toward men women utterli unattract especi old wrinkl thing come toward end tri appear sexi weird horribl costum fail miser even ridicul bmovi still give laugh pain watch
"What an absolutely stunning movie, if you have 2.5 hrs to kill, watch it, you won't regret it, it's too much fun! Rajnikanth carries the movie on his shoulders and although there isn't anything more other than him, I still liked it. The music by A.R.Rehman takes time to grow on you but after you heard it a few times, you really start liking it.",positive,absolut stun hr kill watch wont regret much fun rajnikanth carri shoulder although isnt anyth still like music arrehman take time grow heard time realli start like
"First of all, let's get a few things straight here: a) I AM an anime fan- always has been as a matter of fact (I used to watch Speed Racer all the time in Preschool). b) I DO like several B-Movies because they're hilarious. c) I like the Godzilla movies- a lot.<br /><br />Moving on, when the movie first comes on, it seems like it's going to be your usual B-movie, down to the crappy FX, but all a sudden- BOOM! the anime comes on! This is when the movie goes WWWAAAAAYYYYY downhill.<br /><br />The animation is VERY bad & cheap, even worse than what I remember from SPEED RACER, for crissakes! In fact, it's so cheap, one of the few scenes from the movie I ""vividly"" remember is when a bunch of kids run out of a school... & it's the same kids over & over again! The FX are terrible, too; the dinosaurs look worse than Godzilla. In addition, the transition to live action to animation is unorganized, the dialogue & voices(especially the English dub that I viewed) was horrid & I was begging my dad to take the tape out of the DVD/ VHS player; The only thing that kept me surviving was cracking out jokes & comments like the robots & Joel/Mike on MST3K (you pick the season). Honestly, this is the only way to barely enjoy this movie & survive it at the same time.<br /><br />Heck, I'm planning to show this to another fellow otaku pal of mine on Halloween for a B-Movie night. Because it's stupid, pretty painful to watch & unintentionally hilarious at the same time, I'm giving this movie a 3/10, an improvement from the 0.5/10 I was originally going to give it.<br /><br />(According to my grading scale: 3/10 means Pretty much both boring & bad. As fun as counting to three unless you find a way to make fun of it, then it will become as fun as counting to 15.)",negative,first let thing straight anim fan alway matter fact use watch speed racer time preschool like sever bmovi theyr hilari like godzilla movi lot move first come seem like go usual bmovi crappi sudden boom anim come goe wwwaaaaayyyyy downhil anim bad cheap even wors rememb speed racer crissak fact cheap scene vividli rememb bunch kid run school kid terribl dinosaur look wors godzilla addit transit live action anim unorgan dialogu voicesespeci english dub view horrid beg dad take tape dvd vh player thing kept surviv crack joke comment like robot joelmik mstk pick season honestli way bare enjoy surviv time heck plan show anoth fellow otaku pal mine halloween bmovi night stupid pretti pain watch unintent hilari time give improv origin go give accord grade scale mean pretti much bore bad fun count three unless find way make fun becom fun count
This was the worst movie I saw at WorldFest and it also received the least amount of applause afterwards! I can only think it is receiving such recognition based on the amount of known actors in the film. It's great to see J.Beals but she's only in the movie for a few minutes. M.Parker is a much better actress than the part allowed for. The rest of the acting is hard to judge because the movie is so ridiculous and predictable. The main character is totally unsympathetic and therefore a bore to watch. There is no real emotional depth to the story. A movie revolving about an actor who can't get work doesn't feel very original to me. Nor does the development of the cop. It feels like one of many straight-to-video movies I saw back in the 90s ... And not even a good one in those standards.<br /><br />,negative,worst saw worldfest also receiv least amount applaus afterward think receiv recognit base amount known actor great see jbeal she minut mparker much better actress part allow rest act hard judg ridicul predict main charact total unsympathet therefor bore watch real emot depth stori revolv actor cant work doesnt feel origin develop cop feel like mani straighttovideo movi saw back even good standard
"The Karen Carpenter Story shows a little more about singer Karen Carpenter's complex life. Though it fails in giving accurate facts, and details.<br /><br />Cynthia Gibb (portrays Karen) was not a fine election. She is a good actress , but plays a very naive and sort of dumb Karen Carpenter. I think that the role needed a stronger character. Someone with a stronger personality.<br /><br />Louise Fletcher role as Agnes Carpenter is terrific, she does a great job as Karen's mother.<br /><br />It has great songs, which could have been included in a soundtrack album. Unfortunately they weren't, though this movie was on the top of the ratings in USA and other several countries",positive,karen carpent stori show littl singer karen carpent complex life though fail give accur fact detail cynthia gibb portray karen fine elect good actress play naiv sort dumb karen carpent think role need stronger charact someon stronger person louis fletcher role agn carpent terrif great job karen mother great song could includ soundtrack album unfortun werent though top rate usa sever countri
